Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,1.348230,1.354040,1.347500,1.348200,1.348200,0
2022-01-04,1.353100,1.358200,1.352300,1.353120,1.353120,0
2022-01-05,1.355300,1.356580,1.353400,1.355710,1.355710,0
2022-01-06,1.357710,1.361380,1.356200,1.357710,1.357710,0
2022-01-07,1.360880,1.361250,1.355550,1.360940,1.360940,0
2022-01-10,1.356270,1.357850,1.353600,1.356250,1.356250,0
2022-01-11,1.355200,1.355730,1.350100,1.355790,1.355790,0
2022-01-12,1.350390,1.351500,1.346300,1.350640,1.350640,0
2022-01-13,1.346480,1.346750,1.343900,1.345900,1.345900,0
2022-01-14,1.346100,1.347890,1.342800,1.346050,1.346050,0
2022-01-17,1.348630,1.349670,1.346600,1.348560,1.348560,0
2022-01-18,1.348350,1.350910,1.345700,1.348420,1.348420,0
2022-01-19,1.350450,1.351430,1.346800,1.350520,1.350520,0
2022-01-20,1.347690,1.347700,1.342900,1.347400,1.347400,0
2022-01-21,1.346830,1.347870,1.343300,1.346890,1.346890,0
2022-01-24,1.344710,1.347810,1.342600,1.344500,1.344500,0
2022-01-25,1.345460,1.345460,1.342000,1.345340,1.345340,0
2022-01-26,1.343600,1.345010,1.342900,1.343800,1.343800,0
2022-01-27,1.347700,1.353390,1.347700,1.348200,1.348200,0
2022-01-28,1.352300,1.358040,1.352100,1.352640,1.352640,0
2022-01-31,1.355910,1.356160,1.351100,1.355890,1.355890,0
2022-02-01,1.351540,1.351820,1.348300,1.351560,1.351560,0
2022-02-02,1.348550,1.349540,1.346200,1.348560,1.348560,0
2022-02-03,1.347510,1.349180,1.342800,1.347500,1.347500,0
2022-02-04,1.343980,1.347650,1.341800,1.344030,1.344030,0
2022-02-07,1.345200,1.346430,1.343300,1.345160,1.345160,0
2022-02-08,1.343530,1.345670,1.342900,1.343580,1.343580,0
2022-02-09,1.344900,1.345050,1.340800,1.344600,1.344600,0
2022-02-10,1.342130,1.344600,1.340400,1.341600,1.341600,0
2022-02-11,1.345570,1.346960,1.342800,1.345460,1.345460,0
2022-02-14,1.346880,1.348230,1.345700,1.346980,1.346980,0
2022-02-15,1.346870,1.347540,1.344000,1.346500,1.346500,0
2022-02-16,1.344730,1.345960,1.343060,1.344720,1.344720,0
2022-02-17,1.342780,1.345470,1.341900,1.343010,1.343010,0
2022-02-18,1.343160,1.346020,1.341600,1.342800,1.342800,0
2022-02-21,1.346290,1.347030,1.343300,1.346160,1.346160,0
2022-02-22,1.346600,1.348670,1.344410,1.346600,1.346600,0
2022-02-23,1.345430,1.346300,1.343100,1.345460,1.345460,0
2022-02-24,1.345800,1.360420,1.345700,1.346190,1.346190,0
2022-02-25,1.355360,1.355630,1.350900,1.355010,1.355010,0
2022-02-28,1.359330,1.360060,1.354800,1.359040,1.359040,0
2022-03-01,1.355500,1.358180,1.352790,1.355300,1.355300,0
2022-03-02,1.357200,1.359630,1.354680,1.357330,1.357330,0
2022-03-03,1.355040,1.358950,1.354400,1.354980,1.354980,0
2022-03-04,1.356750,1.362550,1.356750,1.356300,1.356300,0
2022-03-07,1.361750,1.364700,1.359810,1.361940,1.361940,0
2022-03-08,1.361700,1.366460,1.360700,1.361830,1.361830,0
2022-03-09,1.364500,1.366030,1.356200,1.365170,1.365170,0
2022-03-10,1.357510,1.360500,1.356400,1.357100,1.357100,0
2022-03-11,1.358150,1.362100,1.357900,1.358050,1.358050,0
2022-03-14,1.363240,1.366380,1.362500,1.362700,1.362700,0
2022-03-15,1.365700,1.368590,1.363500,1.366150,1.366150,0
2022-03-16,1.365000,1.366800,1.359040,1.365230,1.365230,0
2022-03-17,1.358210,1.359030,1.353690,1.358260,1.358260,0
2022-03-18,1.353280,1.358420,1.352860,1.353270,1.353270,0
2022-03-21,1.356430,1.356700,1.354600,1.356170,1.356170,0
2022-03-22,1.357800,1.359960,1.355900,1.358000,1.358000,0
2022-03-23,1.356400,1.358380,1.355800,1.356880,1.356880,0
2022-03-24,1.357510,1.358740,1.356900,1.357690,1.357690,0
2022-03-25,1.357380,1.358200,1.355400,1.357380,1.357380,0
2022-03-28,1.358400,1.361580,1.358260,1.358400,1.358400,0
2022-03-29,1.360450,1.361890,1.354900,1.360450,1.360450,0
2022-03-30,1.355970,1.356560,1.352000,1.355970,1.355970,0
2022-03-31,1.352530,1.355000,1.351900,1.352530,1.352530,0
2022-04-01,1.354300,1.357440,1.354670,1.354300,1.354300,0
2022-04-04,1.356600,1.357670,1.355800,1.356600,1.356600,0
2022-04-05,1.356600,1.358590,1.354500,1.356600,1.356600,0
2022-04-06,1.359340,1.361360,1.358000,1.359340,1.359340,0
2022-04-07,1.360320,1.361350,1.358700,1.360320,1.360320,0
2022-04-08,1.361820,1.364690,1.361100,1.361820,1.361820,0
2022-04-11,1.363340,1.366980,1.363000,1.363340,1.363340,0
2022-04-12,1.365100,1.366220,1.361400,1.365100,1.365100,0
2022-04-13,1.364060,1.365060,1.362700,1.364060,1.364060,0
2022-04-14,1.361260,1.360940,1.351150,1.361260,1.361260,0
2022-04-15,1.356240,1.359540,1.355700,1.356240,1.356240,0
2022-04-18,1.358010,1.362110,1.357400,1.358010,1.358010,0
2022-04-19,1.361200,1.368490,1.361100,1.361200,1.361200,0
2022-04-20,1.367620,1.369690,1.362900,1.367620,1.367620,0
2022-04-21,1.363100,1.365720,1.359800,1.363100,1.363100,0
2022-04-22,1.365010,1.371230,1.362100,1.365010,1.365010,0
2022-04-25,1.369860,1.378160,1.370080,1.369860,1.369860,0
2022-04-26,1.373690,1.377650,1.370000,1.373690,1.373690,0
2022-04-27,1.377810,1.381790,1.376100,1.377810,1.377810,0
2022-04-28,1.380770,1.390390,1.380210,1.380770,1.380770,0
2022-04-29,1.386500,1.387370,1.378280,1.386500,1.386500,0
2022-05-02,1.383700,1.387410,1.382600,1.383700,1.383700,0
2022-05-03,1.385640,1.386580,1.381900,1.385640,1.385640,0
2022-05-04,1.383840,1.385250,1.380800,1.383840,1.383840,0
2022-05-05,1.374240,1.387130,1.372900,1.374240,1.374240,0
2022-05-06,1.384000,1.390390,1.382800,1.384000,1.384000,0
